Country,Code,,,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2019,Shape_Leng,Shape_Area,Lat,Long
Bangladesh,BGD,,,661411,685166,726989,768579,804526,842155,881617,934735,987853,1166700,1345546,1422805,2185613,53.18713526,12.13624478,24,90
Brunei Darussalam,BRN,,,20562,26038,32903,41032,50977,61374,73200,84748,96296,98441,100587,102733,110641,5.270602703,0.465836536,5,115
Cambodia,KHM,,,381271,373625,342322,14551,4168,12647,38375,92230,146085,114031,81977,73963,78649,26.03261292,15.0716947,13,105
China,CHN,,,245684,260479,280404,298474,311194,323937,376361,442198,508034,678947,849861,978046,1030871,376.6670947,951.3648499,37,104
Hong Kong,HKG,,,1627488,1696828,1715474,1884492,2100549,2184333,2218473,2443798,2669122,2721235,2779950,2838665,2942254,4.254973372,0.090865782,22,114
India,IND,,,9410535,9350557,9181520,9011238,8845466,8131017,7493204,6952238,6411272,5923642,5436012,5240960,5154737,199.0470245,272.3043514,23,79
Indonesia,IDN,,,1859466,1475121,1170220,928340,756851,593098,465612,378960,292307,289568,305416,328846,353135,495.0299182,153.0786077,-2,117
Iran,IRN,,,48374,53761,86165,157166,555455,2855231,4291601,2937668,2803805,2568930,2761561,2726420,2682214,83.53352913,156.0879826,33,54
Iraq,IRQ,,,87752,78709,74870,71219,68826,111660,83638,199460,210525,132915,117389,353881,368062,34.67601253,42.24398347,33,44
Japan,JPN,,,692651,712854,725139,770342,802422,850775,1075626,1381097,1686567,2012916,2134151,2043877,2498891,155.1139965,38.17138264,38,138
Laos,LAO,,,19646,20177,20688,21247,26990,22901,22866,23526,21948,20371,21185,22244,48275,40.58599988,19.5287003,19,104
Malaysia,MYS,,,56895,204679,736323,717901,789130,908395,695920,937368,1277223,1722344,2406011,2514243,3430380,68.45691262,26.70317216,4,110
Mongolia,MNG,,,3684,4072,4501,4975,5499,6078,6718,7424,8206,11475,16061,17620,21128,85.72407199,184.6029871,47,103
Myanmar,MMR,,,286559,279484,272584,265854,188051,133053,133545,113663,98011,83025,76414,73308,75998,106.2445966,57.78452885,21,96
Nepal,NPL,,,337636,344550,345489,299373,251180,313922,429974,690225,717900,679457,578657,518278,490802,25.11249849,13.5278468,28,84
Pakistan,PAK,,,6350296,5698452,5105556,4574348,5012524,6288210,6208204,3669308,4181912,3171132,3941586,3628956,3257978,74.36146957,81.71043615,30,69
Philippines,PHL,,,219676,219555,217435,162045,134439,145508,154071,207345,318095,257468,208599,211862,218530,157.2229066,24.37122124,12,123
South Korea,KOR,,,135551,156147,179873,305275,528810,559921,43017,123886,244178,485546,919275,1327324,1163655,50.6676015,9.898048219,36,128
Sri Lanka,LKA,,,1005317,1026891,1085423,885875,661917,494578,41561,40841,40132,39526,38959,38706,40018,17.95690288,5.432873201,8,81
Thailand,THA,,,484839,409954,347394,344715,479387,406658,528693,809720,1257821,2163447,3224131,3913258,3635085,76.74902332,43.3239019,15,101
Vietnam,VNM,,,4010,4216,4433,4661,38901,28153,28118,51262,56754,51768,61756,72793,76104,87.71984407,27.94506076,17,106
